image_paths,image_urls,images,movie_imgurl,movie_name,movie_ranking,movie_rating,movie_ratnum
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1181775734.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1181775734.jpg,鬼子来了,33,9.1,219797
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1280323646.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1280323646.jpg,大话西游之月光宝盒,34,8.9,383316
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p462657443.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p462657443.jpg,蝙蝠侠：黑暗骑士,35,9.0,306843
,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p792443418.jpg,,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p792443418.jpg,两杆大烟枪,36,9.0,266711
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2173575484.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2173575484.jpg,活着,37,9.0,255430
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p465583562.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p465583562.jpg,飞屋环游记,38,8.9,484899
,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1808872109.jpg,,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1808872109.jpg,窃听风暴,39,9.1,214509
,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p792238287.jpg,,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p792238287.jpg,飞越疯人院,40,9.0,270426
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p455222172.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p455222172.jpg,海豚湾,41,9.3,177699
,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p925123037.jpg,,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p925123037.jpg,闻香识女人,42,8.9,311465
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1465235231.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1465235231.jpg,V字仇杀队,43,8.8,399756
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2174346180.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2174346180.jpg,哈尔的移动城堡,44,8.8,334997
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p616779231.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p616779231.jpg,教父2,45,9.1,180194
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1665997400.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1665997400.jpg,美丽心灵,46,8.9,295455
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p909265336.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p909265336.jpg,指环王2：双塔奇兵,47,8.9,262462
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1354436051.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1354436051.jpg,指环王1：魔戒再现,48,8.9,292925
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910824340.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910824340.jpg,死亡诗社,49,8.9,266419
,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p449897379.jpg,,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p449897379.jpg,情书,50,8.8,360772
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p803896904.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p803896904.jpg,天使爱美丽,51,8.7,467697
,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p477229647.jpg,,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p477229647.jpg,美国往事,52,9.1,168177
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p457631605.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p457631605.jpg,七宗罪,53,8.7,421855
,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1505392928.jpg,,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1505392928.jpg,控方证人,54,9.6,77985
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p792484461.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p792484461.jpg,钢琴家,55,9.0,196065
,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2277799019.jpg,,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2277799019.jpg,狮子王,56,8.9,271254
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2158166535.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2158166535.jpg,辩护人,57,9.1,188702
,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p453723669.jpg,,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p453723669.jpg,被嫌弃的松子的一生,58,8.9,267134
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910899751.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910899751.jpg,饮食男女,59,9.0,184256
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p480383375.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p480383375.jpg,致命魔术,60,8.8,326921
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1374546770.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1374546770.jpg,勇敢的心,61,8.8,287479
,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p480956937.jpg,,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p480956937.jpg,剪刀手爱德华,62,8.7,467320
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2173580603.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2173580603.jpg,小鞋子,63,9.2,130403
,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p453788577.jpg,,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p453788577.jpg,音乐之声,64,8.9,223780
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910902213.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910902213.jpg,低俗小说,65,8.7,319749
,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p594972928.jpg,,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p594972928.jpg,入殓师,66,8.8,309405
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2177269645.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2177269645.jpg,本杰明·巴顿奇事,67,8.7,378522
,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1593414327.jpg,,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1593414327.jpg,沉默的羔羊,68,8.7,338518
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910908765.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910908765.jpg,黑客帝国,69,8.8,267822
